epoch,train_loss,train_acc,val_loss,val_acc
1,0.9442131299472734,0.5892351274787535,0.9035804675369666,0.5740740740740741
2,0.8440305353224109,0.6141643059490085,0.8261982416980481,0.582010582010582
3,0.771578780719984,0.6492917847025496,0.7652484727284264,0.6243386243386243
4,0.6968738409682644,0.7104815864022663,0.7262340411938056,0.6693121693121693
5,0.6728436102948175,0.7229461756373937,0.680146611556805,0.7142857142857143
6,0.6243225028764763,0.7450424929178471,0.6713580612152342,0.7037037037037037
7,0.5855304756853466,0.7660056657223796,0.6545231947823177,0.7275132275132276
8,0.5709510683675664,0.771671388101983,0.6371837753467459,0.746031746031746
9,0.5675466066041681,0.7648725212464589,0.5865823317457128,0.753968253968254
10,0.524127883326906,0.796600566572238,0.5758154925215181,0.7486772486772487
11,0.5237984765183824,0.7824362606232295,0.5760139665275654,0.7354497354497355
12,0.5084214356735813,0.7932011331444759,0.5605805172491326,0.753968253968254
13,0.4997589385712113,0.8090651558073655,0.544071151465966,0.7619047619047619
14,0.47360223470936413,0.8073654390934845,0.5524269493799361,0.7433862433862434
15,0.47482972465898765,0.8164305949008499,0.537388576716973,0.7592592592592593
