water_depth_mm,forecast_precip_mm,Q_action0,Q_action1,Q_action2
0.0,0.0,3.356401205062866,3.2344624996185303,3.221536874771118
0.0,48.9795918367347,3.488706111907959,3.3587722778320312,3.3507182598114014
0.0,97.9591836734694,3.62101149559021,3.4830822944641113,3.4799001216888428
0.0,146.9387755102041,3.732203722000122,3.572815418243408,3.5751953125
0.0,195.9183673469388,3.737999677658081,3.5282068252563477,3.5312552452087402
0.0,244.89795918367346,3.7179269790649414,3.4706685543060303,3.47224760055542
0.0,293.8775510204082,3.5730233192443848,3.3289897441864014,3.3325233459472656
0.0,342.8571428571429,3.2054343223571777,3.1165883541107178,3.243277072906494
0.0,391.8367346938776,2.906270742416382,2.9489572048187256,3.174062490463257
0.0,440.81632653061223,2.815371513366699,2.9175944328308105,3.165821075439453
4.8979591836734695,0.0,3.2855277061462402,3.1724257469177246,3.1572184562683105
4.8979591836734695,48.9795918367347,3.417832374572754,3.2967355251312256,3.2863998413085938
4.8979591836734695,97.9591836734694,3.550137519836426,3.4210457801818848,3.415581703186035
4.8979591836734695,146.9387755102041,3.6720070838928223,3.5282647609710693,3.5280137062072754
4.8979591836734695,195.9183673469388,3.675524950027466,3.4834952354431152,3.4832088947296143
4.8979591836734695,244.89795918367346,3.6518211364746094,3.423475742340088,3.42177152633667
4.8979591836734695,293.8775510204082,3.510075092315674,3.2828004360198975,3.281332015991211
4.8979591836734695,342.8571428571429,3.2048540115356445,3.0902063846588135,3.177947759628296
4.8979591836734695,391.8367346938776,2.8904294967651367,2.912590265274048,3.1042654514312744
4.8979591836734695,440.81632653061223,2.799530506134033,2.8812272548675537,3.096024513244629
9.795918367346939,0.0,3.214653253555298,3.1103882789611816,3.0928988456726074
9.795918367346939,48.9795918367347,3.346958637237549,3.23469877243042,3.222081184387207
9.795918367346939,97.9591836734694,3.479264259338379,3.359009265899658,3.3512630462646484
9.795918367346939,146.9387755102041,3.6115691661834717,3.483318567276001,3.4804446697235107
9.795918367346939,195.9183673469388,3.6130504608154297,3.438783884048462,3.4351634979248047
9.795918367346939,244.89795918367346,3.585714817047119,3.376283645629883,3.37129545211792
9.795918367346939,293.8775510204082,3.443969249725342,3.2356083393096924,3.23085618019104
9.795918367346939,342.8571428571429,3.2042744159698486,3.0638251304626465,3.112619400024414
9.795918367346939,391.8367346938776,2.874589204788208,2.8762242794036865,3.0344693660736084
9.795918367346939,440.81632653061223,2.783690929412842,2.8448615074157715,3.026228666305542
14.693877551020408,0.0,3.143779754638672,3.048351526260376,3.028580665588379
14.693877551020408,48.9795918367347,3.2760848999023438,3.172661781311035,3.1577625274658203
14.693877551020408,97.9591836734694,3.4083900451660156,3.2969717979431152,3.2869439125061035
14.693877551020408,146.9387755102041,3.5406949520111084,3.421281099319458,3.416125535964966
14.693877551020408,195.9183673469388,3.5505754947662354,3.394073009490967,3.387117862701416
14.693877551020408,244.89795918367346,3.519608736038208,3.3290910720825195,3.32081937789917
14.693877551020408,293.8775510204082,3.3778624534606934,3.188415288925171,3.180379629135132
14.693877551020408,342.8571428571429,3.2036943435668945,3.0374433994293213,3.047290563583374
14.693877551020408,391.8367346938776,2.858747720718384,2.839855909347534,2.9646716117858887
14.693877551020408,440.81632653061223,2.7678487300872803,2.8084936141967773,2.9564309120178223
19.591836734693878,0.0,3.0729055404663086,2.986314296722412,2.964261531829834
19.591836734693878,48.9795918367347,3.2052106857299805,3.1106247901916504,3.0934433937072754
19.591836734693878,97.9591836734694,3.3375160694122314,3.2349348068237305,3.222625494003296
19.591836734693878,146.9387755102041,3.4684529304504395,3.359147787094116,3.351287364959717
19.591836734693878,195.9183673469388,3.488100051879883,3.349360942840576,3.339071273803711
19.591836734693878,244.89795918367346,3.453502893447876,3.2818987369537354,3.270343542098999
19.591836734693878,293.8775510204082,3.3117566108703613,3.1412227153778076,3.129903554916382
19.591836734693878,342.8571428571429,3.170010805130005,3.0005481243133545,2.98946475982666
19.591836734693878,391.8367346938776,2.842907667160034,2.803490161895752,2.8948755264282227
19.591836734693878,440.81632653061223,2.7520086765289307,2.772127151489258,2.886634349822998
24.48979591836735,0.0,3.0020318031311035,2.9242775440216064,2.8999428749084473
24.48979591836735,48.9795918367347,3.1343369483947754,3.0485875606536865,3.0291247367858887
24.48979591836735,97.9591836734694,3.2666423320770264,3.172898292541504,3.1583070755004883
24.48979591836735,146.9387755102041,3.395301103591919,3.296950578689575,3.286104917526245
24.48979591836735,195.9183673469388,3.4256253242492676,3.304649829864502,3.2910256385803223
24.48979591836735,244.89795918367346,3.3873963356018066,3.2347054481506348,3.2198665142059326
24.48979591836735,293.8775510204082,3.2456510066986084,3.0940308570861816,3.079427719116211
24.48979591836735,342.8571428571429,3.103905200958252,2.9533560276031494,2.93898868560791
24.48979591836735,391.8367346938776,2.8349437713623047,2.7722771167755127,2.8273844718933105
24.48979591836735,440.81632653061223,2.736168384552002,2.7357606887817383,2.8168375492095947
29.387755102040817,0.0,2.9311578273773193,2.8622405529022217,2.8356242179870605
29.387755102040817,48.9795918367347,3.063462734222412,2.9865500926971436,2.9648056030273438
29.387755102040817,97.9591836734694,3.195768117904663,3.110860824584961,3.0939879417419434
29.387755102040817,146.9387755102041,3.3221487998962402,3.2347521781921387,3.220921277999878
29.387755102040817,195.9183673469388,3.3631505966186523,3.2599384784698486,3.2429797649383545
29.387755102040817,244.89795918367346,3.3212904930114746,3.187513589859009,3.1693906784057617
29.387755102040817,293.8775510204082,3.179543972015381,3.04683780670166,3.0289509296417236
