class,fpr,tpr
healthy,0.0,0.0
healthy,0.0,0.011494252873563218
healthy,0.0,0.3448275862068966
healthy,0.003436426116838488,0.3448275862068966
healthy,0.003436426116838488,0.47126436781609193
healthy,0.006872852233676976,0.47126436781609193
healthy,0.006872852233676976,0.5517241379310345
healthy,0.013745704467353952,0.5517241379310345
healthy,0.013745704467353952,0.5747126436781609
healthy,0.01718213058419244,0.5747126436781609
healthy,0.01718213058419244,0.632183908045977
healthy,0.020618556701030927,0.632183908045977
healthy,0.020618556701030927,0.6436781609195402
healthy,0.027491408934707903,0.6436781609195402
healthy,0.027491408934707903,0.6666666666666666
healthy,0.030927835051546393,0.6666666666666666
healthy,0.030927835051546393,0.6781609195402298
healthy,0.03436426116838488,0.6781609195402298
healthy,0.03436426116838488,0.7011494252873564
healthy,0.037800687285223365,0.7011494252873564
healthy,0.037800687285223365,0.7126436781609196
healthy,0.041237113402061855,0.7126436781609196
healthy,0.041237113402061855,0.735632183908046
healthy,0.044673539518900345,0.735632183908046
healthy,0.044673539518900345,0.7471264367816092
healthy,0.05154639175257732,0.7471264367816092
healthy,0.05154639175257732,0.7701149425287356
healthy,0.054982817869415807,0.7701149425287356
healthy,0.054982817869415807,0.7816091954022989
healthy,0.058419243986254296,0.7816091954022989
healthy,0.058419243986254296,0.7931034482758621
healthy,0.061855670103092786,0.7931034482758621
healthy,0.061855670103092786,0.8045977011494253
healthy,0.06529209621993128,0.8045977011494253
healthy,0.06529209621993128,0.8160919540229885
healthy,0.0859106529209622,0.8160919540229885
healthy,0.0859106529209622,0.8390804597701149
healthy,0.08934707903780069,0.8390804597701149
healthy,0.08934707903780069,0.8505747126436781
healthy,0.09278350515463918,0.8505747126436781
healthy,0.09278350515463918,0.8620689655172413
healthy,0.10652920962199312,0.8620689655172413
healthy,0.10652920962199312,0.8735632183908046
healthy,0.1134020618556701,0.8735632183908046
healthy,0.17869415807560138,0.8735632183908046
healthy,0.17869415807560138,0.8850574712643678
healthy,0.2027491408934708,0.8850574712643678
healthy,0.2027491408934708,0.896551724137931
healthy,0.27491408934707906,0.896551724137931
healthy,0.27491408934707906,0.9080459770114943
healthy,0.2852233676975945,0.9080459770114943
healthy,0.2852233676975945,0.9195402298850575
healthy,0.3127147766323024,0.9195402298850575
healthy,0.3127147766323024,0.9310344827586207
healthy,0.3333333333333333,0.9310344827586207
healthy,0.3333333333333333,0.9540229885057471
healthy,0.3402061855670103,0.9540229885057471
healthy,0.3402061855670103,0.9655172413793104
healthy,0.37800687285223367,0.9655172413793104
healthy,0.37800687285223367,0.9770114942528736
healthy,0.436426116838488,0.9770114942528736
healthy,0.44329896907216493,0.9770114942528736
healthy,0.49140893470790376,0.9770114942528736
healthy,0.49140893470790376,0.9885057471264368
