episode,r0_mean,r1_mean,r2_mean,r3_mean
60,1.0,0.7218497094037291,1.0,1.0
61,1.0,0.7074047074786034,1.0,1.0
62,1.0,0.7456448089397564,1.0,1.0
63,1.0,0.698032955924219,1.0,1.0
64,1.0,0.7695462274019473,1.0,1.0
65,1.0,0.7035599992280779,1.0,1.0
66,1.0,0.6918153389386459,1.0,1.0
67,1.0,0.7447354458966792,1.0,1.0
68,1.0,0.7158525257351513,1.0,1.0
69,1.0,0.7430790188606654,1.0,1.0
70,1.0,0.7297459319994045,1.0,1.0
71,1.0,0.6974876097321536,1.0,1.0
72,1.0,0.7124943539197605,1.0,1.0
73,1.0,0.6819597499396856,1.0,1.0
74,1.0,0.7560958337073774,1.0,1.0
75,1.0,0.7385398116731093,1.0,1.0
76,1.0,0.6686889395924414,1.0,1.0
77,1.0,0.7216716766306561,1.0,1.0
78,1.0,0.7521657191097034,1.0,1.0
79,1.0,0.69639413360569,1.0,1.0
80,1.0,0.7145844722596936,1.0,1.0
81,1.0,0.6903954843195408,1.0,1.0
82,1.0,0.7088797971694211,1.0,1.0
83,1.0,0.6960392515099789,1.0,1.0
84,1.0,0.76386948264853,1.0,1.0
85,1.0,0.7636978153291614,1.0,1.0
86,1.0,0.739822494508841,1.0,1.0
87,1.0,0.7022941214139292,1.0,1.0
88,1.0,0.7290354964919867,1.0,1.0
89,1.0,0.7062031972204917,1.0,1.0
90,1.0,0.7215464656983864,1.0,1.0
91,1.0,0.700162620220312,1.0,1.0
92,1.0,0.7648247095857517,1.0,1.0
93,1.0,0.7259320447049266,1.0,1.0
94,1.0,0.7341254562771808,1.0,1.0
95,1.0,0.7263837283543998,1.0,1.0
96,1.0,0.6973183141340641,1.0,1.0
97,1.0,0.7280231434757412,1.0,1.0
98,1.0,0.7026015830121903,1.0,1.0
99,1.0,0.7492579882808377,1.0,1.0
100,1.0,0.7552696250284119,1.0,1.0
101,1.0,0.6935351053954406,1.0,1.0
102,1.0,0.7186329162986018,1.0,1.0
103,1.0,0.7009394296358356,1.0,1.0
104,1.0,0.7510723017919041,1.0,1.0
105,1.0,0.7305855041443478,1.0,1.0
106,1.0,0.7152029781123826,1.0,1.0
107,1.0,0.709795975432497,1.0,1.0
108,1.0,0.7237582712057916,1.0,1.0
109,1.0,0.7018809782076895,1.0,1.0
110,1.0,0.6739503023657634,1.0,1.0
111,1.0,0.7171504489085873,1.0,1.0
112,1.0,0.7197205055601024,1.0,1.0
113,1.0,0.7168029046496753,1.0,1.0
114,1.0,0.6906334971459164,1.0,1.0
115,1.0,0.7117575422487643,1.0,1.0
116,1.0,0.6835415951977813,1.0,1.0
117,1.0,0.6785087433174327,1.0,1.0
118,1.0,0.7575900372660855,1.0,1.0
119,1.0,0.709856946060561,1.0,1.0
120,1.0,0.6731332334126753,1.0,1.0
121,1.0,0.7089896188068507,1.0,1.0
122,1.0,0.6681853714838306,1.0,1.0
123,1.0,0.6936180512214165,1.0,1.0
124,1.0,0.7150910104847232,1.0,1.0
125,1.0,0.7098105855799848,1.0,1.0
126,1.0,0.7033936649842522,1.0,1.0
127,1.0,0.7148745918608264,1.0,1.0
128,1.0,0.7168739682346201,1.0,1.0
129,1.0,0.693838737631109,1.0,1.0
130,1.0,0.6602134786141834,1.0,1.0
131,1.0,0.7422990673916445,1.0,1.0
