lead_day,grade,TS,MAR,FAR
1,NR,1.0,0.0,0.0
1,LR,0.794276875483372,0.09275618374558305,0.13552188552188552
1,MR,0.704617330803289,0.18567251461988304,0.16051243406179352
1,HR,0.6143790849673203,0.25691699604743085,0.21991701244813278
1,ST,0.4852941176470588,0.2826086956521739,0.4
2,NR,1.0,0.0,0.0
2,LR,0.7945205479452054,0.07936507936507936,0.14705882352941177
2,MR,0.7136479591836735,0.18261504747991233,0.15098634294385432
2,HR,0.6380471380471381,0.2509881422924901,0.18843683083511778
2,ST,0.4375,0.391304347826087,0.391304347826087
3,NR,0.9998420969524712,0.0,0.00015790304752881732
3,LR,0.7940503432494279,0.08443271767810026,0.14320987654320988
3,MR,0.6926920674578388,0.18991964937910885,0.17300521998508575
3,HR,0.5697865353037767,0.3142292490118577,0.2288888888888889
3,ST,0.4264705882352941,0.3695652173913043,0.43137254901960786
4,NR,0.9998421468034727,0.0,0.00015785319652722967
4,LR,0.8019504876219055,0.061457418788410885,0.1536025336500396
4,MR,0.6986649713922441,0.19546120058565153,0.1584992343032159
4,HR,0.5819397993311036,0.3108910891089109,0.2108843537414966
4,ST,0.4,0.43478260869565216,0.4222222222222222
5,NR,0.999842321034374,0.0,0.0001576789656259855
5,LR,0.8042813455657493,0.07394366197183098,0.14052287581699346
5,MR,0.7054361567635904,0.18121790168745414,0.16404494382022472
5,HR,0.5764119601328903,0.31287128712871287,0.21846846846846846
5,ST,0.34328358208955223,0.4888888888888889,0.4888888888888889
6,NR,1.0,0.0,0.0
6,LR,0.7921686746987951,0.07394366197183098,0.15434083601286175
6,MR,0.7027027027027027,0.19705882352941176,0.15085536547433903
6,HR,0.6179401993355482,0.2633663366336634,0.2068230277185501
6,ST,0.35294117647058826,0.4666666666666667,0.48936170212765956
7,NR,0.9998423707440101,0.0,0.00015762925598991173
7,LR,0.7852807283763278,0.08890845070422536,0.1495480690221857
7,MR,0.6876971608832808,0.19793966151582046,0.1717325227963526
7,HR,0.5791190864600326,0.2984189723320158,0.23160173160173161
7,ST,0.36619718309859156,0.43478260869565216,0.49019607843137253
