episode,episode_loss,episode_reward
0,2.009251702203058,242.33240670480427
1,0.16006817598827183,217.7813448429636
2,0.10533866104669869,224.01429940130922
3,0.08726101510110311,234.74155309968543
4,0.08141683081630617,249.2354695495603
5,0.07877893205732107,224.10511196299373
6,0.07249402483575977,226.8371844263509
7,0.06614174354763236,233.41774923843718
8,0.06844911526422948,237.821150953944
9,0.060926450043916704,228.0100241247761
10,0.06017237728810869,218.31898548544564
11,0.05542142361809965,218.32462245782477
12,0.043726732159848326,223.81757742304285
13,0.03360542217997135,231.29727826712337
14,0.024908237804629606,225.66697737008067
15,0.01953730422683293,245.6311586979337
16,0.014454893784204614,220.50727905978067
17,0.011507351625914453,230.7196098093447
18,0.009676133542234311,220.89422394829992
19,0.009073871243890608,221.0901333634123
20,0.008221307338681072,231.4162096264203
21,0.007783485235995613,220.09543263505992
22,0.008158730973082128,224.34617100182476
23,0.007103086371353129,235.92813174314696
24,0.006973662609379971,216.32733946244343
25,0.0069508224085439,233.53290905603998
26,0.007760713377501815,222.60785718682638
27,0.006706911786022829,244.24561748930682
28,0.006968962041355553,237.9219426401378
29,0.006705362145294202,229.78056587571217
30,0.006413809743753518,225.2929129363228
31,0.00649747606512392,239.27878384182628
32,0.006985449396233889,210.51665303973974
33,0.007328912845696323,233.1745745179207
34,0.006891578954673605,227.3618201216798
35,0.006836420793479192,216.70371739805316
36,0.007001493848656537,216.8426525854671
37,0.007265845344227273,212.86597026082939
38,0.006867966507707024,225.386749960362
39,0.007421144539148372,231.6389505911857
40,0.00762858108173532,228.71873618996887
41,0.006776373228422017,235.7259317507816
42,0.00654897119893576,221.35717608087563
43,0.006572550165219582,235.0994561786527
44,0.0063491669945506144,225.8645922216799
45,0.006819377620558953,231.5451782210028
46,0.007166243427127484,220.79299741277518
47,0.00722021707915701,235.67841831370558
48,0.007111303083001985,221.46537123658055
49,0.007193795603234321,225.7737956606438
50,0.006268380591791356,214.80768424869953
51,0.006685825057138573,216.8271016918429
52,0.00635930585594906,221.26940052731047
53,0.007143087492659106,226.9462003852294
54,0.007013779867338599,220.44637446513502
55,0.0070547933806665245,229.31699127822358
56,0.006883018356893445,229.54193425873942
57,0.006480088862736011,227.12494656317958
58,0.006707493892099592,227.25033692434278
59,0.0072215947686345315,223.31752437625178
60,0.006912924568314338,230.9919070091932
61,0.006977015437951195,226.36950639315305
62,0.006592716756495065,238.606338860722
63,0.007380044259480201,223.37054589575
64,0.007745333327693516,246.25479276862313
65,0.006437499596722773,225.13919975298504
66,0.006981746542442125,221.38090846036675
67,0.006984313047723845,238.31534268693738
68,0.006354199212364619,229.0728082352484
69,0.0066929631066159345,237.78528603541287
70,0.007261118193855509,233.5186982398095
71,0.006083951143227751,223.19603511428906
72,0.006023047224516631,227.99819325432335
73,0.0069195944161037914,218.22711998069937
74,0.006486772976495558,241.95066678636073
75,0.0061352197953965515,236.332739735395
76,0.006410402026813244,213.9804606695812
77,0.006571467665708042,230.9349365218099
78,0.006970559285764466,240.6930301151051
79,0.006821352083716192,222.8461227538208
80,0.006195790674246382,228.66703112310188
81,0.006451075174845755,220.9265549822531
82,0.006119160254093004,226.84153509421475
83,0.006074736040682182,222.73256048319323
84,0.00630453873964143,244.4382344475296
85,0.00618947166876751,244.38330090533157
86,0.006196904267926584,236.74319824282918
87,0.005786001880915137,224.73411885245744
88,0.005773392768605845,233.2913588774358
89,0.006046500547745382,225.98502311055736
90,0.00586997179343598,230.89486902348378
91,0.0060921365475223865,224.05203847049978
92,0.005605483962426661,244.7439070674405
93,0.005583032960930723,232.29825430557648
94,0.005921403047614149,234.92014600869788
95,0.006089931388487457,232.44279307340804
96,0.005566761397130904,223.14186052290052
97,0.005840050970437005,232.96740591223713
98,0.005955715372692794,224.83250656390095
99,0.005814400909366668,239.76255624986803
100,0.005644331060830154,241.68628000909177
101,0.005241230355386506,221.93123372654097
102,0.005969850222754758,229.9625332155525
103,0.006109408197880839,224.30061748346722
104,0.005998001743137138,240.34313657340925
105,0.005877802657778375,233.78736132619127
106,0.005325101342532434,228.86495299596243
107,0.005889205724815838,227.13471213839907
108,0.006092215051103267,231.60264678585338
109,0.005960291554220021,224.60191302646058
110,0.005935782573578763,215.66409675704432
111,0.00618284712654713,229.48814365074793
112,0.006059297011597664,230.3105617792328
113,0.006327949081605766,229.376929487896
114,0.005746561493651825,221.00271908669322
115,0.005624122953850019,227.76241351960465
116,0.005483505533629795,218.73331046329
117,0.005851956911646994,217.1227978615786
118,0.005959251929016318,242.42881192514724
119,0.005712094757109298,227.15422273937943
120,0.0059625785623211415,215.40263469205613
121,0.006476138662401354,226.8766780181922
122,0.005346552190894726,213.81931887482583
123,0.005746700743475231,221.95777639085327
124,0.006235889026720542,228.82912335511153
125,0.005931303050601855,227.13938738559506
126,0.005938771637738682,225.08597279496072
127,0.00590416828126763,228.75986939546456
128,0.006088163584718131,229.39966983507853
129,0.006295819764272892,222.02839604195498
130,0.006325510191527428,211.26831315653874
131,0.006454032552574063,237.53570156532624
132,0.006094843355094781,236.0604484522932
133,0.0059208840088103894,239.47765935618466
134,0.0061573212642542785,227.32596328054137
135,0.006220254412255599,225.1019824727712
136,0.00618825860292418,226.1690048789711
137,0.006133553160179872,227.72986429557923
138,0.006299809365737019,232.23084241372058
139,0.006453470017731888,232.50486311053996
140,0.005992809641975327,233.45436422067797
141,0.005755295763810864,222.263353509344
142,0.005640268973002094,234.49670404429844
143,0.006216065065382281,219.06331295548114
144,0.005926259314583149,233.39108798421006
145,0.005995663788417005,221.44411744698903
146,0.00621626601969183,230.77021636840038
147,0.005727116498383112,228.09603553245424
148,0.005974866612086771,229.07671357834505
149,0.006157419244482298,212.45728715131003
150,0.005908263414312387,224.34985026372257
151,0.006068780353598413,214.60391610871844
152,0.0060317541821859775,231.44597973776936
153,0.006317154105272493,234.33154980296126
154,0.006002127995816409,231.42565208446828
155,0.006206355590256863,230.90528503158586
156,0.006097468646657944,220.5873295395154
157,0.006033320854839985,231.70898478309417
158,0.006539921812145621,220.2036444405094
159,0.006058093352112337,238.75256328043088
160,0.006491514915251173,227.51310156733018
161,0.0058339580784377175,230.63185824644302
162,0.006104692625376629,236.36440984192598
163,0.005952134318067692,232.34234350635379
164,0.00604338294651825,231.43617618155616
165,0.005961252440101816,231.77325087898245
166,0.006213615290107555,216.32297119002865
167,0.005439255612509441,251.2556120691594
168,0.005889968165865867,226.57819668388183
169,0.005411384019680554,233.52325988867494
170,0.0059044719018856995,233.30719497567205
171,0.005993049230892211,222.54818429204218
172,0.006196214706869796,232.66974205137177
173,0.005389586378078093,234.69125167530086
174,0.0056258607382915216,238.00230214765017
175,0.005632464766313206,228.07932108205816
176,0.005647448657691711,228.357001236496
