class,precision,recall,f1,support
healthy,0.9523809523809523,0.45977011494252873,0.6201550387596899,87
moderate_stress,0.7613636363636364,0.95260663507109,0.8463157894736842,211
severe_stress,0.8333333333333334,0.75,0.7894736842105263,80
